"","DEGREE","PEOCNTCT","STRESS","SLPPRBLM","WKSMOOTH","UNEMP","SATFIN","CLASS_","SATJOB","WEEKSWRK","LIFE","HEALTH","HAPPY","RINCOME","INCOM16","SEXFREQ","SOCBAR","AGE"
"64",4,3,4,3,2,1,1,3,1,52,1,1,2,12,4,NA,NA,47
"65",4,3,NA,NA,NA,NA,1,3,1,52,2,2,2,12,4,4,NA,34
"66",4,1,NA,NA,NA,2,1,4,1,48,1,1,1,12,4,1,NA,69
"67",3,4,NA,NA,NA,2,1,4,1,52,1,1,1,12,3,2,NA,65
"68",4,4,3,3,2,1,2,4,2,52,NA,NA,2,12,3,3,3,57
"69",3,4,NA,NA,NA,1,3,2,1,48,2,2,2,NA,5,2,NA,24
"70",1,3,2,1,3,1,3,2,2,52,3,3,3,11,3,6,NA,32
"71",2,NA,NA,NA,NA,1,3,3,NA,0,NA,NA,2,NA,3,5,NA,51
"72",4,NA,NA,NA,NA,2,1,3,NA,0,2,2,2,12,3,1,NA,66
"73",3,3,NA,NA,NA,2,3,3,2,52,NA,NA,2,12,3,4,3,51
"74",3,NA,3,2,2,2,2,2,1,51,NA,NA,1,NA,4,6,4,27
"75",4,3,3,2,3,2,1,3,2,49,1,3,2,12,2,3,NA,39
"76",4,NA,NA,NA,NA,2,2,3,4,0,2,2,3,NA,3,3,NA,41
"77",3,NA,2,1,2,2,2,3,3,52,1,1,1,12,4,3,NA,54
"78",3,1,NA,NA,NA,1,1,4,2,52,1,2,2,12,4,0,NA,58
"79",1,NA,NA,NA,NA,1,3,1,1,0,2,4,3,NA,1,5,NA,43
"80",0,NA,NA,NA,NA,NA,3,2,NA,0,2,4,3,NA,NA,0,6,55
"81",0,NA,5,4,2,2,2,2,1,34,NA,NA,2,8,2,NA,NA,51
"82",0,2,NA,NA,NA,1,2,2,1,0,1,2,2,NA,2,1,NA,40
"83",1,NA,NA,NA,NA,1,3,2,4,0,1,4,2,NA,2,6,NA,35
"84",0,1,NA,NA,NA,NA,1,1,1,0,2,4,3,NA,3,1,2,43
"85",0,5,NA,NA,NA,1,3,1,2,0,1,2,2,NA,2,5,NA,36
"86",0,4,NA,NA,NA,1,3,3,NA,0,NA,NA,2,NA,NA,4,4,30
"87",0,NA,NA,NA,NA,1,1,4,1,0,NA,NA,1,NA,5,2,4,56
"88",3,2,NA,NA,NA,2,2,2,1,52,1,1,1,12,3,2,NA,41
"89",1,NA,1,1,4,NA,2,2,1,51,1,2,1,12,3,NA,3,25
"90",2,NA,3,4,2,2,2,2,1,52,1,2,1,12,3,0,NA,48
"91",2,NA,3,3,3,2,1,3,1,52,NA,NA,2,12,3,2,5,45
"92",1,1,NA,NA,NA,NA,2,3,NA,0,2,4,2,NA,2,NA,NA,72
"93",3,2,NA,NA,NA,2,2,3,NA,52,1,1,1,12,2,6,NA,27
"94",0,NA,3,2,2,1,3,1,2,52,NA,NA,1,10,3,NA,5,24
"95",1,1,NA,NA,NA,1,3,1,4,0,NA,NA,3,NA,4,5,4,40
"96",2,1,2,2,2,NA,1,2,2,52,2,2,2,12,3,3,NA,26
"97",1,NA,3,2,2,NA,3,2,3,NA,3,2,3,NA,2,0,NA,28
"98",1,2,1,1,2,1,3,2,2,44,1,2,3,10,1,1,NA,37
"99",4,4,1,1,NA,1,3,3,3,52,2,2,3,NA,3,3,NA,NA
"100",0,NA,NA,NA,NA,1,3,1,1,0,NA,NA,1,NA,1,NA,NA,62
"101",1,NA,5,2,4,2,2,3,4,52,NA,NA,2,12,4,6,3,43
"102",4,5,2,4,3,1,2,3,1,52,NA,NA,2,12,3,5,2,32
"103",1,2,NA,NA,NA,2,3,2,1,52,1,1,2,12,1,NA,NA,65
"104",3,2,2,2,3,2,2,2,3,52,NA,NA,2,12,3,5,NA,32
"105",4,NA,3,3,2,NA,2,3,2,45,2,2,2,NA,3,NA,5,51
"106",3,NA,3,3,1,1,2,3,2,52,NA,NA,1,12,4,5,5,41
"107",3,NA,NA,NA,NA,2,2,3,NA,0,NA,NA,2,NA,2,0,NA,81
"108",3,NA,NA,NA,NA,2,3,3,NA,0,NA,NA,1,NA,3,NA,NA,74
"109",4,NA,3,2,2,2,3,3,1,52,NA,NA,2,12,3,NA,NA,42
"110",3,NA,3,2,2,2,2,2,2,52,NA,NA,1,NA,3,NA,5,45
"111",3,NA,3,4,1,NA,3,2,1,0,1,1,1,NA,3,4,4,23
"112",1,NA,3,2,2,2,2,2,2,52,NA,NA,2,9,3,3,5,26
"113",1,NA,3,2,1,NA,2,3,4,52,2,NA,3,12,1,NA,5,29
"114",1,NA,1,2,2,2,2,2,2,50,2,3,2,11,3,4,NA,28
"115",3,NA,NA,NA,NA,NA,2,2,2,0,1,2,2,NA,2,3,NA,60
"116",4,2,3,4,2,1,2,3,1,52,NA,NA,2,12,3,0,2,35
"117",3,NA,NA,NA,NA,2,2,3,1,0,NA,NA,3,NA,2,4,5,38
"118",3,NA,3,3,2,NA,2,3,3,47,1,1,2,12,2,4,3,30
"119",4,5,3,3,2,NA,1,3,1,NA,1,1,1,12,2,3,4,44
"120",3,NA,3,2,2,NA,3,3,1,52,1,1,3,12,3,0,NA,58
"121",3,3,NA,NA,NA,1,3,2,1,0,1,1,1,NA,4,2,NA,41
"122",4,NA,NA,NA,NA,2,1,3,NA,0,1,1,2,NA,2,2,NA,61
"123",3,NA,3,3,1,1,3,3,1,40,1,1,1,11,3,0,NA,56
"124",4,NA,NA,NA,NA,2,2,2,NA,0,NA,NA,1,NA,3,NA,6,79
"125",1,NA,4,2,2,1,2,3,1,52,1,2,2,12,3,5,NA,32
"126",4,1,NA,NA,NA,NA,2,3,NA,0,2,3,3,NA,2,3,NA,68
"127",1,NA,NA,NA,NA,2,1,3,NA,0,2,3,2,NA,4,NA,NA,89
"128",4,NA,1,1,2,2,2,3,2,52,2,2,2,12,1,NA,NA,38
"129",2,1,2,1,3,NA,2,2,1,50,1,2,2,12,2,NA,4,29
"130",4,NA,NA,NA,NA,NA,2,2,NA,0,1,2,2,NA,1,1,NA,77
"131",1,NA,4,2,2,2,3,2,2,42,1,2,2,11,3,2,NA,47
"132",3,3,1,2,3,2,3,2,3,50,NA,NA,1,12,2,5,4,53
"133",1,1,NA,NA,NA,NA,2,2,NA,52,2,1,2,12,3,1,5,54
"134",4,3,5,3,2,2,1,3,1,52,1,1,1,12,2,0,NA,64
"135",3,NA,NA,NA,NA,2,3,1,NA,0,NA,NA,1,NA,4,NA,NA,62
"136",4,4,NA,NA,NA,NA,2,3,2,52,2,1,2,12,4,1,5,30
"137",4,2,4,4,2,NA,1,3,1,52,1,2,1,12,5,0,1,61
"138",3,NA,NA,NA,NA,NA,3,3,NA,0,1,1,2,NA,2,3,NA,63
"139",4,NA,NA,NA,NA,NA,2,2,2,52,NA,2,1,12,3,NA,5,41
"140",3,1,2,4,2,NA,2,3,2,52,1,1,2,12,4,NA,3,57
"141",1,NA,3,4,2,2,2,3,2,52,NA,NA,2,9,3,0,4,29
"142",4,5,3,3,2,1,3,3,1,48,1,2,1,12,2,NA,NA,40
"143",1,3,3,3,3,2,1,3,2,26,NA,NA,2,11,4,1,5,21
"144",1,NA,3,4,1,1,2,2,2,52,2,2,2,12,3,NA,NA,55
"145",1,NA,NA,NA,NA,2,3,3,NA,0,2,2,2,NA,NA,NA,NA,81
"146",4,NA,3,3,2,2,2,3,1,52,2,1,1,12,3,5,NA,38
"147",1,NA,1,1,1,1,3,2,1,30,1,3,1,8,3,NA,NA,37
"148",4,3,NA,NA,NA,1,2,2,2,0,2,1,1,NA,3,3,NA,45
"149",3,1,3,2,2,2,2,2,1,52,NA,NA,2,12,4,1,5,37
"150",4,4,4,3,1,2,2,2,1,52,NA,NA,2,NA,3,NA,4,55
"151",3,1,4,2,1,2,1,NA,1,52,1,1,2,9,3,0,NA,74
"152",3,NA,NA,NA,NA,2,1,3,NA,0,1,NA,3,NA,3,0,NA,84
"153",1,NA,1,1,3,2,3,2,3,52,3,2,3,12,3,1,NA,54
"154",1,NA,3,3,2,NA,2,2,1,26,2,1,2,6,3,1,5,23
"155",0,NA,3,2,1,1,3,2,2,52,NA,NA,2,4,1,5,NA,25
"156",1,1,NA,NA,NA,2,2,2,NA,0,NA,NA,2,NA,3,0,NA,81
"157",2,NA,2,1,2,NA,2,2,3,52,1,3,2,12,3,4,5,48
"158",1,NA,NA,NA,NA,NA,3,3,NA,0,1,4,3,NA,3,0,NA,46
"159",0,2,1,3,1,2,3,1,1,28,2,3,3,12,1,2,NA,51
"160",2,NA,NA,NA,NA,2,2,3,NA,0,NA,NA,2,NA,3,NA,NA,86
"161",0,NA,1,1,1,2,1,2,2,52,1,2,1,12,1,1,NA,54
"162",2,NA,2,3,2,2,1,2,2,52,NA,NA,1,12,2,NA,NA,45
"163",4,NA,NA,NA,NA,2,1,3,NA,0,1,1,2,NA,NA,3,NA,75
"164",1,3,3,2,3,2,3,2,2,52,NA,NA,2,12,2,5,3,23
"165",1,NA,3,4,1,2,1,3,1,52,1,1,1,12,3,0,NA,63
"166",1,1,NA,NA,NA,2,2,3,NA,0,1,2,1,NA,3,NA,NA,82
"167",2,5,NA,NA,NA,NA,3,2,NA,0,2,3,3,NA,4,2,6,50
"168",4,2,NA,NA,NA,2,3,3,NA,0,NA,NA,2,NA,1,0,3,83
"169",4,2,NA,NA,NA,2,1,4,NA,0,NA,NA,1,NA,3,3,2,67
"170",1,5,NA,NA,NA,2,2,3,NA,0,NA,NA,2,NA,4,0,NA,84
"171",3,NA,1,1,4,1,3,3,2,12,1,3,3,1,NA,0,NA,59
"172",4,NA,3,2,2,2,2,2,1,52,1,2,2,12,3,4,NA,45
"173",2,2,2,1,1,2,2,2,1,50,1,2,1,12,3,5,NA,55
"174",4,2,NA,NA,NA,NA,3,3,4,0,2,4,3,NA,4,1,NA,62
"175",1,2,NA,NA,NA,NA,2,3,NA,0,2,3,2,NA,4,0,NA,77
"176",3,2,NA,NA,NA,NA,2,3,2,50,2,2,2,12,2,5,4,46
"177",1,NA,NA,NA,NA,2,1,3,NA,0,3,1,1,NA,4,4,NA,59
"178",1,NA,3,3,2,2,1,2,3,52,2,3,2,3,2,3,NA,20
"179",4,NA,3,2,1,2,3,2,1,52,NA,2,2,12,2,0,NA,63
"180",4,NA,5,2,2,NA,3,3,1,0,1,3,1,9,4,0,NA,71
"181",1,3,3,3,3,1,2,3,1,52,NA,NA,2,12,2,5,4,37
"182",0,2,NA,NA,NA,1,2,2,1,0,NA,NA,1,NA,3,NA,NA,27
"183",1,NA,NA,NA,NA,2,2,2,1,0,1,2,2,NA,2,6,NA,26
"184",1,NA,4,3,1,NA,2,2,1,36,2,3,1,3,2,5,4,46
"185",0,NA,NA,NA,NA,NA,2,3,1,0,2,3,3,NA,2,0,NA,56
"186",1,NA,3,3,2,1,3,3,3,50,1,3,3,12,2,5,NA,45
"187",1,NA,3,4,1,2,2,2,1,52,NA,NA,2,12,1,6,4,62
"188",1,3,NA,NA,NA,1,1,2,2,0,NA,NA,2,NA,3,3,6,24
"189",3,4,NA,NA,NA,NA,3,2,2,40,1,4,2,12,5,5,4,48
"190",1,2,3,2,3,2,2,2,2,52,1,1,3,12,3,5,NA,31
"191",3,NA,3,1,1,1,2,3,1,52,1,1,3,12,4,5,NA,37
"192",1,NA,3,4,1,2,3,2,2,52,NA,NA,1,11,2,3,4,35
"193",1,1,NA,NA,NA,2,1,2,2,0,2,2,1,NA,3,4,NA,26
"194",0,3,5,4,2,2,2,2,1,52,1,3,1,6,2,NA,NA,54
"195",1,NA,3,2,3,2,3,3,2,52,NA,NA,2,12,3,1,5,36
"196",1,2,NA,NA,NA,2,2,3,NA,0,1,2,2,NA,1,NA,NA,79
"197",0,NA,NA,NA,NA,2,3,4,NA,0,NA,NA,3,NA,2,NA,NA,78
"198",1,4,NA,NA,NA,1,2,2,4,52,1,3,3,11,3,NA,NA,27
"199",1,NA,1,1,3,1,2,3,1,40,NA,NA,2,6,3,4,NA,20
"200",1,5,4,1,2,2,2,2,1,52,1,3,2,12,4,5,NA,41
"201",1,1,NA,NA,NA,1,3,2,4,0,3,2,3,NA,2,0,NA,63
"202",1,1,NA,NA,NA,1,3,2,4,44,1,3,3,9,3,4,NA,25
"203",1,2,NA,NA,NA,2,2,2,2,0,NA,NA,2,NA,3,NA,6,32
"204",0,4,NA,NA,NA,NA,3,1,1,0,2,4,2,NA,2,3,NA,34
"205",3,NA,3,3,2,NA,3,3,1,52,1,2,2,12,2,5,5,46
"206",0,NA,5,4,2,2,2,2,3,52,NA,NA,2,11,1,5,NA,50
"207",1,1,2,2,2,NA,2,2,2,52,2,2,2,12,3,4,5,34
"208",0,2,NA,NA,NA,1,3,2,2,0,2,4,3,NA,4,3,NA,22
"209",0,1,2,3,2,2,2,2,3,52,NA,NA,2,12,3,NA,4,35
"210",0,NA,NA,NA,NA,2,1,2,1,0,NA,NA,2,NA,1,NA,NA,41
"211",0,NA,2,4,1,NA,3,2,1,52,2,3,1,8,1,NA,NA,53
"212",0,2,NA,NA,NA,NA,3,2,4,0,2,3,2,NA,1,NA,NA,54
"213",1,2,NA,NA,NA,2,3,3,1,0,1,4,NA,NA,3,NA,NA,50
"214",1,1,NA,NA,NA,1,2,2,2,52,NA,NA,2,7,3,5,NA,38
"215",0,NA,5,4,3,2,2,2,2,52,NA,NA,2,11,4,4,NA,35
"216",1,4,NA,NA,NA,2,2,2,NA,0,1,1,1,NA,3,0,NA,19
"217",0,NA,NA,NA,NA,2,3,2,NA,0,2,4,1,NA,1,NA,NA,56
"218",1,5,3,2,2,2,1,3,2,45,1,2,1,12,1,2,NA,46
"219",0,2,NA,NA,NA,2,3,2,NA,0,NA,NA,3,NA,1,NA,NA,68
"220",1,NA,2,2,2,NA,2,2,1,52,1,2,2,12,4,4,3,41
"221",0,NA,3,3,1,1,1,2,1,40,1,2,1,NA,3,NA,NA,29
"222",1,NA,3,2,2,1,3,3,2,40,NA,NA,2,9,3,0,NA,61
"223",1,NA,2,2,1,NA,3,3,1,52,2,1,3,10,3,2,6,56
"224",1,1,NA,NA,NA,1,3,1,1,52,NA,NA,3,NA,3,6,2,33
"225",3,NA,4,3,3,2,1,3,1,48,NA,NA,1,12,4,5,3,24
"226",1,3,3,2,1,1,2,3,1,20,NA,NA,2,11,2,4,4,69
"227",4,1,NA,NA,NA,NA,1,4,2,42,1,2,2,12,5,2,5,61
"228",1,1,NA,NA,NA,2,2,1,NA,0,3,4,2,NA,3,0,NA,78
"229",1,NA,5,4,1,2,1,2,1,52,1,2,1,9,3,0,NA,43
"230",0,2,NA,NA,NA,1,3,1,2,16,NA,NA,2,NA,1,3,NA,52
"231",1,NA,NA,NA,NA,1,3,2,1,0,1,2,2,NA,3,0,NA,59
"232",4,1,2,1,2,2,1,4,1,52,NA,NA,2,12,5,6,NA,69
"233",2,2,NA,NA,NA,1,2,3,2,24,1,1,1,NA,4,5,NA,37
"234",3,NA,4,4,3,2,2,3,1,52,1,1,1,12,3,3,NA,41
"235",3,NA,NA,NA,NA,NA,2,3,1,0,1,1,1,NA,2,0,5,59
"236",1,NA,NA,NA,NA,1,2,2,NA,52,2,2,2,10,3,2,NA,23
"237",1,NA,NA,NA,NA,2,1,3,NA,0,NA,NA,1,NA,3,0,NA,19
"238",3,3,NA,NA,NA,NA,2,2,1,52,2,1,2,10,4,4,5,30
"239",0,NA,NA,NA,NA,NA,2,3,2,0,1,4,2,NA,3,0,NA,75
"240",0,1,4,4,2,NA,3,1,2,50,2,1,3,NA,1,1,6,46
"241",1,NA,1,1,2,NA,3,2,4,52,1,2,2,NA,3,0,NA,19
"242",4,5,2,3,2,1,2,3,1,52,NA,NA,2,12,2,1,5,51
"243",4,4,NA,NA,NA,2,1,3,1,40,NA,NA,1,12,3,2,3,61
"244",1,NA,3,2,1,2,2,2,2,52,NA,NA,2,12,1,4,NA,45
"245",0,4,5,4,1,2,2,2,1,52,1,3,2,12,2,3,NA,58
"246",0,NA,NA,NA,NA,2,2,2,NA,0,NA,NA,3,NA,3,NA,NA,79
"247",3,NA,NA,NA,NA,2,2,3,NA,0,1,2,1,NA,1,0,NA,75
"248",1,1,NA,NA,NA,NA,1,3,NA,0,1,2,1,NA,4,NA,NA,89
"249",1,NA,4,2,2,NA,2,2,1,52,2,2,2,11,2,0,NA,41
"250",3,3,3,4,1,NA,3,2,1,52,1,2,1,NA,1,NA,4,32
"251",3,NA,3,3,2,2,2,2,1,52,NA,NA,2,12,4,2,NA,58
"252",3,NA,4,2,1,NA,1,2,1,52,1,2,1,12,3,2,NA,72
"253",2,NA,NA,NA,NA,NA,1,3,NA,0,1,2,2,NA,4,2,NA,66
"254",1,2,NA,NA,NA,1,2,2,NA,0,NA,NA,2,NA,2,4,6,21
"255",1,2,NA,NA,NA,1,2,2,2,25,1,1,2,NA,3,3,NA,45
"256",1,NA,4,2,3,2,2,2,1,52,NA,NA,2,12,3,5,3,58
"257",1,4,NA,NA,NA,1,3,2,1,16,NA,NA,3,2,3,0,6,50
"258",4,2,NA,NA,NA,2,3,3,NA,0,NA,NA,2,NA,3,2,4,55
"259",2,NA,5,1,1,2,1,2,2,52,NA,NA,1,12,3,5,6,43
"260",1,NA,NA,NA,NA,2,3,2,3,16,NA,NA,2,NA,4,4,NA,31
"261",1,NA,NA,NA,NA,1,2,2,2,0,NA,NA,2,NA,3,5,NA,30
"262",0,3,NA,NA,NA,NA,2,3,3,0,2,3,2,NA,3,0,NA,42
"263",0,NA,5,3,1,1,2,3,3,52,2,2,2,9,3,3,NA,25
"264",0,NA,NA,NA,NA,NA,3,3,NA,0,2,3,3,NA,2,2,6,59
"265",0,1,NA,NA,NA,NA,2,3,NA,0,2,2,2,NA,3,0,NA,80
"266",1,NA,NA,NA,NA,2,3,1,NA,0,NA,NA,2,NA,4,0,NA,58
"267",0,NA,NA,NA,NA,2,2,2,1,0,NA,NA,1,NA,3,6,NA,40
"268",4,NA,NA,NA,NA,NA,3,2,NA,0,2,3,3,NA,2,NA,NA,78
"269",1,2,NA,NA,NA,2,3,3,4,0,NA,NA,3,NA,3,NA,NA,78
"270",4,NA,1,1,1,2,2,3,1,40,NA,NA,1,12,3,4,NA,46
"271",2,NA,3,2,2,2,2,2,2,52,2,2,2,12,3,2,NA,43
"272",3,3,NA,NA,NA,NA,2,3,NA,0,1,3,1,NA,3,1,5,81
"273",3,1,NA,NA,NA,NA,2,3,NA,0,2,3,2,NA,3,NA,NA,63
"274",1,5,4,4,3,1,3,2,2,40,1,3,3,12,2,3,NA,48
"275",1,4,3,1,2,NA,2,3,1,52,2,3,1,12,3,0,NA,48
"276",1,1,NA,NA,NA,1,3,3,2,0,1,2,1,NA,4,5,NA,57
"277",1,1,3,4,2,NA,1,3,2,52,1,2,2,10,4,5,4,29
"278",1,3,NA,NA,NA,1,3,2,4,0,NA,NA,3,NA,3,6,4,30
"279",3,2,NA,NA,NA,1,3,2,3,40,NA,NA,2,12,3,3,5,29
"280",2,NA,3,4,1,NA,2,2,1,52,1,1,1,12,3,0,6,50
"281",0,1,NA,NA,NA,2,3,2,2,0,NA,NA,1,NA,4,NA,NA,61
"282",1,2,2,3,3,2,3,2,3,52,NA,NA,2,12,3,5,NA,30
"283",4,NA,3,2,1,NA,2,2,1,40,2,2,2,12,3,4,5,32
"284",0,4,NA,NA,NA,2,1,2,NA,0,NA,NA,2,NA,3,4,NA,18
"285",4,NA,NA,NA,NA,NA,1,3,NA,0,1,3,2,NA,3,NA,5,85
"286",1,1,NA,NA,NA,1,2,3,NA,0,NA,NA,2,NA,3,5,NA,51
"287",1,NA,2,1,2,NA,3,2,4,45,3,2,3,12,3,6,NA,26
"288",3,1,NA,NA,NA,1,2,2,2,40,NA,NA,2,12,3,2,4,38
"289",0,5,4,4,2,1,2,3,1,52,1,1,1,11,3,5,NA,39
"290",1,NA,5,3,1,NA,2,3,1,52,2,2,2,10,3,6,NA,20
"291",1,3,NA,NA,NA,NA,1,2,1,40,2,2,2,2,4,4,NA,39
"292",1,NA,4,3,3,NA,1,3,2,14,2,3,2,4,3,0,6,57
"293",1,NA,NA,NA,NA,NA,3,3,NA,0,3,3,3,NA,3,NA,NA,87
"294",0,4,NA,NA,NA,2,1,3,NA,0,1,4,1,NA,3,0,NA,81
"295",1,NA,2,2,3,1,2,2,4,52,2,2,2,12,3,6,NA,31
"296",3,2,3,2,1,2,1,3,1,40,NA,NA,1,12,4,2,4,61
"297",1,4,NA,NA,NA,2,3,2,1,52,2,1,2,11,2,5,NA,31
"298",1,3,5,1,1,2,2,3,1,0,2,1,2,NA,2,2,NA,61
"299",1,3,NA,NA,NA,1,3,1,1,0,NA,NA,2,NA,4,1,NA,39
"300",3,NA,NA,NA,NA,2,1,3,NA,0,2,2,2,NA,4,0,NA,84
"301",3,NA,NA,NA,NA,NA,1,4,NA,0,1,1,1,NA,4,5,4,54
"302",1,NA,3,2,2,2,2,3,1,52,NA,NA,1,12,3,5,3,26
"303",4,2,NA,NA,NA,NA,1,3,NA,0,1,2,1,NA,1,0,NA,84
"304",3,5,3,1,2,2,1,4,1,52,NA,NA,1,12,4,4,4,60
"305",3,NA,3,1,2,2,2,2,1,52,NA,NA,2,12,NA,NA,4,43
"306",3,NA,2,1,2,NA,3,3,4,52,3,3,3,12,4,NA,5,65
"307",4,NA,3,2,1,NA,1,2,1,52,1,1,1,12,3,4,3,34
"308",0,1,NA,NA,NA,1,1,3,NA,0,2,4,3,NA,3,0,NA,78
"309",1,1,NA,NA,NA,2,2,2,NA,0,3,4,3,NA,NA,NA,NA,85
"310",0,2,NA,NA,NA,2,3,2,NA,0,2,3,3,NA,1,0,NA,73
"311",1,NA,NA,NA,NA,NA,2,2,NA,26,1,1,2,12,4,5,2,25
"312",4,4,3,4,2,2,1,3,1,52,1,1,1,12,4,4,NA,30
"313",1,3,NA,NA,NA,2,2,2,1,52,NA,NA,2,12,NA,2,NA,46
"314",1,2,NA,NA,NA,2,3,1,2,52,NA,NA,2,12,1,5,4,28
"315",1,3,3,1,1,1,2,2,1,44,3,2,2,12,2,6,NA,40
"316",1,NA,4,3,2,1,2,2,2,38,2,1,2,7,1,5,NA,25
