"","DEGREE","PEOCNTCT","STRESS","SLPPRBLM","WKSMOOTH","UNEMP","SATFIN","CLASS_","SATJOB","WEEKSWRK","LIFE","HEALTH","HAPPY","RINCOME","INCOM16","SEXFREQ","SOCBAR","AGE"
"317",3,NA,NA,NA,NA,NA,2,2,2,49,2,2,1,12,3,3,6,55
"318",0,4,NA,NA,NA,2,1,2,NA,0,1,2,2,NA,3,2,NA,19
"319",0,NA,3,3,2,2,1,4,1,52,1,3,2,8,3,5,NA,31
"320",1,NA,3,2,2,1,2,2,2,52,NA,NA,2,12,3,3,NA,33
"321",3,NA,NA,NA,NA,2,2,2,NA,3,NA,NA,2,NA,4,4,3,27
"322",3,NA,NA,NA,NA,2,1,3,NA,0,NA,NA,1,NA,3,3,NA,62
"323",4,NA,NA,NA,NA,2,1,3,NA,0,2,1,2,NA,2,3,NA,70
"324",3,NA,2,2,3,2,2,3,1,52,NA,NA,2,12,1,3,2,58
"325",2,NA,1,4,2,2,1,3,1,26,NA,NA,2,5,3,4,5,54
"326",1,1,NA,NA,NA,2,2,2,1,0,1,2,2,NA,2,3,NA,50
"327",1,4,NA,NA,NA,NA,2,2,4,40,2,2,3,11,3,5,NA,36
"328",1,2,4,4,1,2,3,3,2,35,1,2,2,11,1,5,NA,34
"329",1,NA,NA,NA,NA,NA,2,2,NA,52,1,2,2,1,3,5,NA,19
"330",1,NA,NA,NA,NA,2,2,2,2,18,2,2,2,NA,2,3,NA,39
"331",1,NA,4,4,2,NA,2,3,1,52,1,2,2,12,1,4,NA,66
"332",4,NA,NA,NA,NA,2,2,3,NA,0,1,1,2,NA,4,0,NA,73
"333",1,5,3,1,2,2,1,3,1,52,NA,NA,2,12,4,2,4,53
"334",3,4,NA,NA,NA,2,2,3,1,52,NA,NA,1,12,2,4,6,41
"335",3,NA,NA,NA,NA,1,3,2,2,52,NA,NA,3,1,3,4,2,35
"336",2,3,1,4,2,2,3,3,2,52,NA,NA,2,NA,3,1,4,23
"337",0,1,NA,NA,NA,2,2,3,NA,0,2,1,3,NA,3,0,NA,74
"338",0,NA,NA,NA,NA,1,2,2,1,0,2,2,1,NA,3,3,NA,36
"339",1,NA,NA,NA,NA,NA,2,2,NA,0,1,2,2,NA,3,3,2,23
"340",4,NA,NA,NA,NA,NA,3,3,3,20,2,2,2,10,3,0,4,64
"341",1,5,2,2,2,1,3,3,1,11,1,2,2,3,5,5,NA,39
"342",4,NA,NA,NA,NA,2,1,3,NA,0,1,1,1,NA,2,1,NA,82
"343",3,NA,3,3,2,2,2,4,1,52,NA,NA,2,9,3,2,3,50
"344",3,NA,NA,NA,NA,NA,1,3,NA,0,1,2,1,NA,3,2,NA,74
"345",3,NA,3,3,2,NA,2,3,1,52,2,2,2,12,2,0,6,45
"346",0,1,2,1,2,2,3,3,4,52,NA,NA,2,12,1,1,NA,47
"347",1,NA,NA,NA,NA,NA,2,2,NA,0,1,3,2,NA,2,0,NA,69
"348",1,NA,1,3,3,2,2,2,1,52,NA,NA,2,12,2,5,4,36
"349",1,5,3,4,2,2,2,3,2,52,NA,NA,2,12,3,5,4,38
"350",4,5,3,3,3,2,1,3,1,52,1,1,1,12,3,5,NA,42
"351",4,2,3,3,2,1,2,3,1,40,1,1,2,9,2,2,NA,70
"352",3,2,NA,NA,NA,2,1,3,NA,0,NA,NA,2,NA,3,0,6,70
"353",1,2,2,2,3,NA,2,3,2,52,2,2,1,11,4,4,5,53
"354",1,NA,NA,NA,NA,1,2,2,NA,0,NA,NA,2,NA,3,1,6,65
"355",3,NA,2,3,2,NA,2,3,1,52,2,2,2,12,4,2,4,29
"356",1,3,1,1,3,1,3,2,2,NA,1,3,2,1,1,4,NA,28
"357",1,NA,2,2,2,2,3,3,2,52,NA,NA,1,NA,2,NA,2,63
"358",1,NA,2,1,2,2,2,2,2,52,NA,NA,2,11,4,4,NA,35
"359",0,2,3,1,2,NA,3,1,2,23,1,1,2,5,1,NA,2,35
"360",4,2,NA,NA,NA,1,3,3,NA,30,1,2,2,9,4,0,NA,50
"361",1,NA,2,2,2,1,1,3,1,52,2,2,2,12,2,0,NA,57
"362",1,NA,2,1,1,NA,2,3,1,52,1,2,1,12,2,NA,1,40
"363",1,2,3,1,2,1,3,2,1,50,1,3,2,12,4,1,NA,32
"364",3,NA,3,4,2,2,1,3,1,52,1,1,1,12,4,0,NA,30
"365",3,4,NA,NA,NA,2,2,3,2,52,NA,NA,2,12,4,0,3,30
"366",3,2,2,2,2,NA,2,3,1,52,1,1,2,12,4,3,5,49
"367",1,NA,3,1,4,2,1,2,1,52,NA,NA,1,12,3,NA,6,58
"368",3,NA,3,3,3,1,1,3,4,16,1,2,2,NA,4,5,NA,24
"369",3,3,2,1,3,NA,1,3,1,52,1,1,1,12,2,5,4,49
"370",1,NA,3,3,1,2,NA,NA,2,52,2,2,2,11,NA,NA,NA,66
"371",3,NA,3,3,2,2,2,3,2,52,NA,NA,2,12,4,4,3,43
"372",4,2,3,2,2,2,1,4,1,52,1,2,2,12,1,2,NA,67
"373",3,2,NA,NA,NA,2,1,3,NA,0,1,1,1,NA,3,4,NA,69
"374",1,1,2,1,2,1,2,3,2,52,1,2,2,12,2,2,NA,65
"375",1,3,NA,NA,NA,NA,1,3,2,52,1,2,1,12,1,4,5,52
"376",3,NA,2,1,2,2,1,4,3,52,NA,NA,2,12,2,0,NA,63
"377",1,3,1,2,2,NA,2,3,1,52,1,2,3,12,3,2,4,60
"378",1,NA,NA,NA,NA,2,1,3,NA,28,NA,NA,2,NA,3,NA,NA,20
"379",3,NA,3,3,2,2,1,3,1,50,NA,NA,1,12,4,4,5,49
"380",4,3,3,4,1,NA,2,3,1,40,1,1,1,12,3,4,NA,36
"381",1,2,NA,NA,NA,NA,3,3,1,52,1,1,2,NA,3,0,3,23
"382",0,2,NA,NA,NA,1,1,2,1,35,3,3,2,12,4,4,NA,19
"383",4,NA,4,2,3,NA,3,3,2,52,3,3,3,12,2,0,NA,57
"384",0,NA,NA,NA,NA,2,2,2,1,0,NA,NA,1,NA,1,NA,NA,33
"385",0,NA,5,4,NA,2,2,2,3,52,NA,NA,3,12,1,NA,NA,39
"386",1,NA,3,4,2,NA,2,2,1,50,2,2,2,12,1,4,NA,33
"387",2,4,2,2,2,1,3,1,2,48,2,2,2,12,3,3,NA,38
"388",1,3,NA,NA,NA,1,3,1,2,45,NA,NA,3,12,2,2,NA,57
"389",1,NA,NA,NA,NA,1,3,1,2,5,2,2,3,3,3,5,NA,23
"390",1,1,NA,NA,NA,1,3,3,1,0,NA,NA,2,NA,1,2,NA,46
"391",1,2,NA,NA,NA,1,3,3,3,NA,NA,NA,3,NA,3,0,4,23
"392",1,NA,3,2,3,2,2,3,3,40,1,2,1,12,3,4,NA,55
"393",2,NA,2,1,3,NA,2,3,2,52,2,2,2,12,3,2,4,22
"394",4,2,NA,NA,NA,2,3,3,2,26,NA,NA,2,10,3,1,6,70
"395",2,3,NA,NA,NA,1,3,2,2,49,NA,NA,2,12,3,0,3,27
"396",3,NA,2,2,2,1,2,3,2,26,NA,NA,2,12,1,5,6,58
"397",1,NA,NA,NA,NA,NA,2,3,2,0,1,2,2,NA,3,3,4,55
"398",4,NA,2,2,2,2,3,2,1,52,NA,NA,2,12,2,0,6,36
"399",1,1,NA,NA,NA,NA,2,2,1,0,2,1,2,NA,3,NA,2,65
"400",3,4,NA,NA,NA,NA,1,3,1,52,1,2,1,NA,3,0,6,64
"401",1,5,NA,NA,NA,2,3,2,NA,44,2,3,3,12,2,5,NA,41
"402",1,3,3,2,2,2,2,2,2,52,2,1,2,12,4,4,NA,58
"403",1,NA,3,3,3,2,1,3,2,52,2,2,2,12,3,NA,NA,52
"404",4,2,NA,NA,NA,1,2,3,2,28,NA,NA,3,12,2,0,4,63
"405",3,NA,3,3,2,2,1,4,1,52,1,1,1,12,4,3,NA,70
"406",4,2,NA,NA,NA,2,1,3,1,52,NA,NA,2,12,3,0,3,63
"407",3,NA,2,2,2,NA,2,3,2,30,2,1,1,12,5,3,2,31
"408",4,NA,NA,NA,NA,2,1,4,NA,0,NA,NA,2,NA,3,2,3,88
"409",4,2,1,2,2,2,2,3,2,52,NA,NA,2,12,2,4,NA,60
"410",3,NA,2,2,1,2,1,4,1,47,NA,NA,2,12,3,2,4,34
"411",4,3,3,1,2,2,2,3,1,52,1,1,2,12,5,3,NA,35
"412",1,2,1,1,2,NA,2,2,1,45,1,1,2,11,NA,0,NA,72
"413",1,NA,NA,NA,NA,NA,1,3,NA,0,2,2,2,NA,3,0,6,77
"414",1,NA,3,2,2,2,3,3,1,49,NA,NA,2,12,2,6,NA,49
"415",3,3,NA,NA,NA,1,3,2,1,52,NA,NA,3,12,1,NA,5,38
"416",3,4,NA,NA,NA,2,1,3,2,52,NA,NA,2,12,3,3,2,40
"417",3,2,3,2,3,1,2,2,2,30,2,2,3,11,5,2,NA,37
"418",3,1,3,4,1,NA,1,3,2,52,1,1,1,12,3,5,5,35
"419",1,3,2,2,2,NA,2,3,1,52,1,2,2,12,3,0,NA,62
"420",1,NA,4,3,2,2,1,3,3,50,NA,NA,1,12,1,3,5,32
"421",3,2,NA,NA,NA,2,3,2,1,40,1,2,2,5,2,1,NA,70
"422",3,3,NA,NA,NA,2,3,2,3,50,NA,NA,2,2,3,1,3,44
"423",4,NA,NA,2,NA,1,2,3,1,52,NA,NA,2,NA,3,NA,5,60
"424",4,NA,1,2,2,NA,1,3,1,52,1,2,2,12,1,0,6,57
"425",4,2,NA,NA,NA,NA,3,3,4,0,NA,2,3,NA,4,0,NA,55
"426",1,NA,3,2,3,NA,2,2,1,52,1,2,1,NA,2,4,NA,39
"427",3,NA,5,4,1,2,3,2,1,40,1,2,1,NA,2,3,NA,52
"428",1,NA,5,1,2,1,2,2,1,10,NA,NA,1,NA,3,2,NA,22
"429",0,1,NA,NA,NA,1,3,3,3,NA,1,4,2,11,2,1,NA,42
"430",3,NA,3,3,3,1,3,2,2,40,2,3,2,7,2,1,NA,25
"431",1,NA,NA,NA,NA,2,3,NA,NA,52,2,3,1,10,3,3,NA,42
"432",0,NA,NA,NA,NA,2,3,2,2,52,1,1,3,NA,3,1,NA,46
"433",1,NA,NA,NA,NA,2,2,3,1,0,2,3,2,NA,3,0,NA,89
"434",0,3,NA,NA,NA,NA,2,3,NA,0,1,4,1,NA,3,3,NA,18
"435",1,3,2,2,2,NA,1,3,1,52,2,2,1,12,2,3,4,41
"436",4,4,1,2,3,2,1,3,2,52,1,1,1,12,3,3,NA,56
"437",1,5,NA,NA,NA,2,2,3,1,52,1,2,1,9,3,5,NA,45
"438",3,NA,3,4,2,1,1,3,2,52,2,1,1,12,4,5,NA,25
"439",3,NA,2,2,2,2,1,3,2,51,1,2,1,12,4,5,NA,24
"440",4,2,5,2,2,NA,2,2,2,20,1,1,2,1,3,5,2,25
"441",3,1,NA,NA,NA,2,2,3,NA,0,NA,NA,2,NA,3,0,2,66
"442",4,3,NA,NA,NA,NA,1,3,1,51,1,1,1,3,4,5,2,36
"443",1,2,NA,NA,NA,NA,2,2,2,52,1,3,2,12,3,4,5,65
"444",4,NA,2,2,1,NA,2,2,2,28,1,2,1,12,3,4,2,44
"445",1,NA,3,2,3,1,2,2,2,52,NA,NA,2,8,3,NA,2,78
"446",4,NA,3,3,2,1,1,4,3,25,2,2,2,12,3,2,NA,59
"447",3,NA,3,4,2,NA,1,4,1,52,1,1,1,12,4,3,6,65
"448",3,NA,NA,NA,NA,2,2,3,1,0,2,2,1,NA,3,1,NA,41
"449",4,NA,3,2,2,2,2,3,1,52,NA,NA,2,12,3,4,5,60
"450",3,2,4,3,2,1,1,3,1,52,NA,NA,1,12,4,4,5,50
"451",3,NA,NA,NA,NA,NA,3,3,NA,0,1,2,2,NA,2,0,4,66
"452",2,1,NA,NA,NA,1,3,3,NA,0,NA,NA,2,NA,3,NA,NA,65
"453",4,2,NA,NA,NA,NA,2,2,NA,24,2,2,2,NA,1,5,5,31
"454",4,4,NA,NA,NA,NA,1,3,2,44,2,2,2,11,4,3,3,32
"455",3,NA,2,3,2,NA,1,3,1,52,1,2,2,12,5,3,3,28
"456",1,NA,NA,NA,NA,NA,2,3,NA,20,1,2,1,10,2,6,5,29
"457",4,NA,NA,NA,NA,2,1,4,NA,0,1,1,1,NA,2,3,NA,71
"458",3,3,NA,NA,NA,1,1,3,1,52,1,3,1,12,3,3,NA,44
"459",1,NA,1,1,3,1,3,1,3,52,3,2,2,NA,2,6,NA,31
"460",1,3,NA,NA,NA,1,3,1,NA,0,2,4,2,NA,3,0,NA,65
"461",3,NA,NA,NA,NA,2,2,3,NA,0,2,1,2,NA,2,0,NA,72
"462",4,4,NA,NA,NA,NA,2,3,2,52,2,2,2,10,4,2,5,45
"463",0,5,NA,NA,NA,2,3,1,NA,0,NA,NA,1,NA,1,0,NA,19
"464",0,NA,5,4,2,NA,2,2,2,NA,1,2,2,NA,4,3,NA,23
"465",1,NA,NA,NA,NA,1,1,2,3,0,3,1,2,NA,4,6,NA,55
"466",1,NA,NA,NA,NA,NA,3,2,4,32,1,2,3,8,2,0,NA,74
"467",1,1,NA,NA,NA,NA,3,2,2,30,2,2,2,9,NA,4,2,60
"468",0,1,NA,NA,NA,1,1,3,4,0,2,2,2,NA,2,6,NA,38
"469",1,1,NA,NA,NA,2,2,2,NA,0,NA,NA,2,NA,3,0,NA,75
"470",2,NA,1,1,3,2,2,2,2,52,2,2,2,11,3,0,NA,55
"471",3,NA,1,2,2,NA,2,2,2,52,1,2,1,12,4,NA,3,28
"472",0,1,NA,NA,NA,NA,1,3,NA,0,3,4,3,NA,1,NA,NA,75
"473",1,NA,NA,NA,NA,2,2,2,4,0,NA,NA,2,NA,1,1,NA,28
"474",1,3,1,2,4,NA,2,2,2,52,2,1,2,12,1,5,5,24
"475",2,NA,NA,NA,NA,NA,3,2,2,26,2,3,2,NA,3,0,NA,53
"476",2,NA,4,1,2,2,3,2,1,52,1,2,2,12,4,3,NA,40
"477",3,4,2,1,2,NA,3,3,2,52,2,2,2,12,3,4,5,55
"478",1,2,NA,NA,NA,2,2,3,NA,0,1,2,1,NA,3,0,NA,70
"479",3,3,4,3,2,1,2,2,1,52,NA,NA,2,12,4,2,4,52
"480",1,5,3,4,3,NA,2,2,2,52,2,2,2,12,3,3,NA,63
"481",3,3,NA,NA,NA,2,1,3,1,52,1,2,2,NA,2,0,NA,69
"482",3,NA,3,3,1,2,1,3,1,52,1,2,1,12,3,5,NA,38
"483",3,1,NA,NA,NA,1,3,2,3,0,2,3,3,NA,1,0,NA,63
"484",4,2,NA,NA,NA,NA,3,1,2,0,2,2,3,NA,2,5,NA,43
"485",0,3,NA,NA,NA,NA,2,2,1,52,2,2,2,12,2,5,NA,31
"486",4,NA,2,4,2,2,1,3,1,52,NA,NA,2,12,3,4,3,60
"487",3,5,NA,NA,NA,2,1,3,1,52,NA,NA,2,12,5,5,2,59
"488",4,NA,3,2,2,2,2,3,1,52,1,1,1,12,4,4,NA,54
"489",4,NA,2,3,3,2,2,3,1,52,1,2,1,12,4,2,NA,38
"490",4,2,3,3,3,2,1,4,2,52,2,2,2,12,2,4,NA,47
"491",3,2,2,2,2,1,2,2,2,52,2,3,2,NA,3,2,NA,54
"492",3,NA,2,1,1,2,2,3,1,52,1,1,1,12,2,6,NA,25
"493",1,NA,NA,NA,NA,2,2,3,1,0,NA,NA,1,NA,3,5,NA,34
"494",4,2,NA,NA,NA,2,1,4,NA,0,1,3,2,NA,1,NA,NA,54
"495",4,2,3,2,2,2,1,3,1,52,1,2,2,12,3,1,NA,57
"496",1,NA,4,1,2,1,2,3,1,36,NA,NA,2,9,3,0,4,21
"497",1,NA,3,2,1,2,2,3,2,52,2,3,3,12,4,1,NA,66
"498",0,2,NA,NA,NA,2,2,3,NA,0,2,2,1,NA,2,4,NA,69
"499",4,NA,3,2,2,2,2,3,3,52,2,2,2,12,2,3,NA,50
"500",1,2,5,2,1,NA,2,2,1,52,2,3,1,12,4,1,NA,65
"501",4,NA,NA,NA,NA,2,1,3,NA,50,1,2,1,12,4,4,NA,74
"502",3,NA,NA,NA,NA,2,1,4,NA,0,1,2,1,NA,4,5,NA,68
"503",4,NA,3,4,1,1,2,3,1,52,1,1,3,12,4,4,NA,65
"504",3,1,2,3,2,2,3,3,1,50,1,2,2,12,4,1,NA,54
"505",4,NA,3,2,2,2,1,3,1,52,NA,NA,2,12,1,0,NA,63
"506",3,NA,2,2,2,2,2,3,1,52,NA,NA,2,12,3,1,4,66
"507",4,4,NA,NA,NA,1,2,3,2,0,1,2,2,NA,1,3,NA,40
"508",3,NA,NA,NA,NA,2,1,4,NA,52,1,2,2,12,1,1,NA,71
"509",0,2,5,4,2,1,3,1,1,52,NA,NA,1,12,4,3,NA,36
"510",1,1,5,2,2,NA,3,3,1,52,1,1,1,12,1,4,4,58
"511",1,2,3,4,2,2,2,2,1,52,2,1,2,12,5,4,NA,37
"512",1,NA,4,3,1,NA,1,2,1,48,1,2,1,NA,3,0,NA,51
"513",2,4,NA,NA,NA,NA,3,2,NA,0,1,3,2,NA,2,0,NA,60
"514",1,NA,1,1,2,2,2,2,2,52,2,1,3,12,1,NA,NA,34
"515",4,2,NA,NA,NA,2,3,3,1,20,NA,NA,2,12,3,3,4,34
"516",3,NA,5,3,2,2,3,3,1,11,1,2,3,12,3,0,NA,69
"517",1,NA,NA,NA,NA,NA,3,2,NA,2,1,1,1,9,3,5,NA,68
"518",1,NA,4,3,2,2,2,2,2,48,2,2,2,12,2,6,NA,32
"519",1,NA,NA,NA,NA,NA,2,3,NA,0,1,2,2,NA,3,2,NA,74
"520",1,2,3,1,2,1,3,2,3,45,NA,NA,1,11,1,6,NA,31
"521",3,1,3,2,2,2,1,3,2,52,NA,NA,1,4,2,2,NA,56
"522",2,3,NA,NA,NA,NA,2,2,1,40,2,2,2,12,1,4,4,37
"523",1,NA,NA,NA,NA,2,2,3,NA,0,1,3,1,NA,4,4,NA,50
"524",1,NA,NA,NA,NA,1,2,3,2,14,1,2,2,11,3,3,NA,63
"525",2,NA,4,2,2,2,2,2,1,45,NA,NA,2,12,4,2,6,45
"526",0,NA,2,3,2,2,2,2,2,52,1,3,1,12,3,4,NA,50
"527",1,4,NA,NA,NA,1,1,2,NA,40,NA,NA,2,NA,3,2,3,23
"528",1,3,NA,NA,NA,2,2,2,2,46,2,3,2,12,3,5,NA,21
"529",1,NA,4,3,2,2,1,2,1,52,NA,NA,2,12,4,0,NA,60
"530",1,3,3,2,1,2,2,3,1,52,1,1,2,12,3,6,NA,40
"531",3,3,3,1,2,NA,1,3,3,50,2,3,2,12,3,0,4,28
"532",4,5,3,4,2,1,3,3,2,27,NA,NA,2,12,2,NA,3,43
"533",3,NA,NA,NA,NA,2,1,3,NA,0,NA,NA,1,NA,1,0,NA,22
"534",0,NA,4,2,2,1,2,1,3,52,2,3,3,10,1,5,NA,41
"535",4,2,NA,NA,NA,NA,2,3,2,52,2,3,2,12,3,6,6,29
"536",0,NA,2,3,2,NA,2,2,1,4,1,3,2,NA,3,0,NA,22
"537",1,2,5,3,2,NA,3,2,3,3,2,2,2,1,3,1,4,33
"538",3,5,2,1,2,2,3,3,1,52,2,2,2,12,4,3,NA,42
"539",3,NA,3,2,2,NA,2,3,2,52,2,1,2,12,4,3,2,29
"540",1,4,NA,NA,NA,2,1,3,NA,0,NA,NA,2,NA,2,NA,NA,71
"541",4,NA,2,3,2,2,1,4,1,52,2,1,1,12,5,4,NA,44
"542",1,NA,NA,NA,NA,2,2,2,NA,0,2,2,2,NA,2,NA,NA,61
"543",1,NA,NA,NA,NA,2,2,2,NA,0,NA,NA,2,NA,3,4,NA,80
"544",3,3,3,4,2,2,2,2,1,52,2,1,1,12,3,5,NA,30
"545",1,NA,2,2,3,NA,1,2,2,52,NA,NA,2,12,3,5,4,33
"546",3,2,NA,NA,NA,2,1,4,NA,6,NA,NA,2,11,4,2,4,69
"547",3,NA,4,4,2,NA,2,NA,2,35,1,2,2,9,3,3,6,37
"548",4,NA,NA,NA,NA,NA,1,3,NA,3,1,2,2,NA,2,4,5,70
"549",3,3,NA,NA,NA,2,1,3,1,40,1,1,2,8,4,5,NA,64
"550",4,NA,NA,NA,NA,NA,3,3,NA,0,1,3,2,NA,4,0,NA,76
"551",1,3,NA,NA,NA,2,2,3,2,51,NA,NA,1,NA,3,1,NA,76
"552",3,2,3,3,2,NA,2,3,2,40,1,1,2,NA,4,3,4,50
"553",3,1,NA,NA,NA,1,1,2,1,48,1,1,2,12,3,1,NA,38
"554",3,1,NA,NA,NA,NA,3,3,NA,0,2,4,3,NA,2,0,NA,77
"555",1,2,NA,NA,NA,2,1,2,1,52,1,1,1,12,4,NA,NA,49
"556",1,NA,2,3,2,2,1,3,2,52,NA,NA,2,12,3,0,5,43
"557",1,3,NA,NA,NA,2,2,3,1,0,2,3,1,1,3,NA,NA,49
"558",1,3,NA,NA,NA,NA,1,2,1,0,1,3,1,NA,2,NA,NA,64
"559",1,NA,NA,NA,NA,1,2,2,2,52,1,4,2,NA,3,3,NA,36
"560",3,NA,3,1,2,NA,2,2,1,52,1,2,2,12,4,3,4,49
"561",2,3,NA,NA,NA,2,3,2,2,52,NA,NA,2,12,2,5,4,45
"562",1,2,NA,NA,NA,2,1,3,NA,52,1,2,1,10,3,2,NA,68
"563",1,NA,NA,NA,NA,2,1,2,NA,0,NA,NA,1,NA,2,0,NA,79
"564",1,3,2,3,3,NA,2,2,2,52,1,2,2,12,3,1,6,53
"565",1,2,NA,NA,NA,2,2,3,NA,0,NA,NA,1,NA,4,1,3,74
"566",1,NA,NA,NA,NA,2,1,3,NA,0,NA,NA,2,NA,NA,0,NA,77
"567",3,NA,2,3,2,NA,1,3,2,52,1,1,2,12,4,3,4,30
"568",3,4,NA,NA,NA,2,1,4,1,0,2,1,2,NA,4,3,NA,44
"569",1,5,NA,NA,NA,NA,2,4,1,52,1,1,1,10,1,2,6,56
"570",0,4,4,1,2,NA,1,4,1,NA,2,1,2,6,3,2,1,31
"571",1,NA,NA,NA,NA,NA,3,2,NA,0,1,2,1,NA,2,NA,NA,65
"572",0,NA,5,3,1,1,3,2,3,40,NA,NA,3,12,1,6,NA,55
"573",1,NA,4,3,2,NA,3,2,1,52,2,2,2,12,2,0,6,55
"574",1,NA,2,4,3,2,3,2,2,52,1,3,2,10,2,0,NA,54
"575",1,NA,NA,NA,NA,2,2,1,1,0,NA,NA,1,NA,2,3,NA,75
"576",3,NA,NA,NA,NA,NA,2,3,NA,0,1,2,2,NA,3,4,5,53
"577",2,2,5,4,2,2,3,2,2,52,NA,NA,1,NA,2,NA,4,45
"578",1,2,NA,NA,NA,2,2,3,1,52,NA,NA,2,12,3,0,NA,71
"579",1,NA,NA,NA,NA,1,1,3,1,52,NA,NA,1,12,4,2,4,32
"580",3,1,3,3,1,1,1,3,1,0,NA,NA,1,NA,3,3,NA,33
"581",4,2,NA,NA,NA,2,1,3,NA,0,1,2,1,NA,3,4,NA,72
"582",1,NA,NA,NA,NA,2,3,3,NA,40,1,1,2,NA,3,3,NA,70
"583",1,1,3,4,1,1,1,3,1,52,NA,NA,1,12,2,0,6,58
"584",3,4,NA,NA,NA,NA,2,2,1,44,1,2,2,12,4,5,NA,54
"585",1,NA,4,2,1,2,2,2,1,48,2,3,2,10,3,4,NA,70
"586",1,NA,3,2,2,2,2,3,3,52,2,1,2,12,2,5,NA,47
"587",3,NA,3,3,2,NA,2,3,1,52,1,1,1,12,4,6,3,47
"588",2,NA,3,2,1,NA,2,3,1,52,1,2,1,NA,2,6,3,33
"589",1,2,NA,NA,NA,1,2,1,1,48,1,3,1,3,1,6,NA,47
"590",3,NA,NA,NA,NA,1,3,2,NA,0,2,2,2,NA,3,1,NA,40
"591",1,1,3,3,3,NA,3,2,2,47,1,2,2,10,3,3,NA,42
"592",4,NA,2,1,3,NA,2,3,1,36,2,3,1,12,3,NA,6,56
"593",1,2,NA,NA,NA,NA,1,3,NA,0,1,3,2,NA,3,0,NA,66
"594",3,2,NA,NA,NA,2,1,3,1,36,NA,NA,1,12,3,NA,NA,55
"595",1,2,NA,NA,NA,2,2,2,NA,0,NA,NA,1,NA,5,3,2,74
"596",1,NA,4,2,1,NA,1,3,2,50,3,3,2,NA,3,6,NA,18
"597",1,1,NA,NA,NA,2,3,2,NA,0,2,4,3,NA,3,0,NA,58
"598",2,1,NA,NA,NA,NA,3,2,NA,0,2,1,2,NA,2,0,NA,76
"599",3,3,NA,NA,NA,NA,2,3,NA,0,1,2,2,NA,3,2,6,66
"600",2,NA,3,2,1,2,3,2,1,52,2,2,1,12,3,2,NA,62
"601",1,NA,NA,NA,NA,2,3,1,2,0,NA,NA,2,NA,2,0,NA,70
"602",1,4,4,1,1,1,2,2,1,52,NA,NA,1,12,4,5,NA,53
"603",4,NA,NA,NA,NA,2,1,3,1,0,1,1,1,NA,5,0,NA,83
"604",3,NA,4,2,4,2,1,2,2,50,2,1,2,11,2,4,NA,66
"605",1,NA,1,2,3,1,3,2,2,52,NA,NA,2,12,3,4,NA,30
"606",1,1,NA,NA,NA,NA,2,3,1,NA,2,2,2,NA,3,5,5,61
"607",1,NA,NA,NA,NA,2,3,3,1,0,NA,NA,1,NA,3,0,NA,81
"608",1,NA,NA,NA,NA,1,3,3,NA,0,NA,NA,3,NA,4,0,NA,71
"609",4,NA,NA,NA,NA,2,3,1,NA,52,NA,NA,2,NA,2,0,NA,80
"610",3,NA,NA,NA,NA,2,1,3,NA,0,NA,NA,2,NA,1,0,NA,74
"611",3,NA,4,3,2,NA,2,3,2,52,2,1,2,12,3,4,4,57
"612",1,NA,5,3,2,2,2,3,2,52,1,2,2,12,2,3,NA,58
"613",1,3,4,2,2,1,2,2,1,52,NA,NA,1,12,4,5,3,47
"614",1,3,NA,NA,NA,2,2,3,1,0,NA,NA,2,NA,4,2,NA,55
"615",3,2,3,3,2,NA,2,3,2,45,1,1,2,12,3,5,3,29
"616",3,4,4,4,1,NA,1,4,1,52,1,1,1,12,3,4,5,36
"617",3,1,NA,NA,NA,1,2,4,3,52,NA,NA,2,12,4,3,4,44
"618",3,NA,NA,NA,NA,2,1,3,2,0,1,1,1,NA,4,3,NA,43
"619",1,NA,3,4,4,2,1,2,2,52,1,2,1,12,4,5,NA,26
"620",3,NA,4,3,1,1,2,3,1,52,NA,NA,1,12,1,2,5,64
"621",1,NA,NA,NA,NA,NA,1,4,NA,0,1,1,2,NA,4,4,NA,71
"622",3,NA,NA,NA,NA,2,2,3,NA,28,2,3,2,NA,2,4,NA,67
"623",3,1,NA,NA,NA,2,1,2,1,0,1,3,1,NA,3,2,NA,31
"624",3,3,NA,NA,NA,1,3,2,4,0,2,2,3,NA,1,4,NA,40
"625",1,4,3,1,3,1,3,2,1,52,NA,NA,3,11,1,0,NA,47
"626",1,NA,4,3,2,1,3,2,1,52,2,3,3,11,1,0,NA,70
"627",3,3,NA,NA,NA,2,1,3,2,52,NA,NA,1,NA,3,NA,NA,29
"628",1,2,NA,NA,NA,2,2,3,NA,0,NA,NA,3,NA,4,3,NA,69
"629",2,5,NA,NA,NA,2,1,3,NA,52,NA,NA,2,12,3,3,3,61
"630",2,NA,3,4,1,NA,2,3,1,52,2,1,2,NA,3,2,NA,62
"631",1,NA,NA,NA,NA,1,2,2,NA,36,2,1,2,10,3,0,NA,21
"632",1,3,2,2,2,2,1,3,2,52,2,2,1,12,3,3,NA,41
"633",4,4,3,4,2,1,2,3,1,52,NA,NA,2,12,4,0,3,35
"634",1,3,NA,NA,NA,2,3,2,NA,0,NA,NA,2,NA,1,0,NA,67
"635",0,NA,NA,NA,NA,2,2,2,NA,0,1,3,3,NA,2,0,NA,76
"636",1,2,3,3,2,1,3,1,2,24,2,2,2,6,2,0,NA,30
